ID,Grouping,Near Neighbors,Worthwhile?
0,< 200,Yes,No
2,< 200,No,Yes
2,200-400,No,Yes
2,200-400,No,Yes
2,200-400,No,Yes
1,200-400,Yes,Yes
1,< 200,Yes,Yes
1,< 200,No,Yes
1,200-400,Yes,Yes
1,< 200,No,Yes
1,200-400,No,No
2,> 400,No,Yes
0,200-400,Yes,No
0,< 200,No,No
2,200-400,No,Yes
1,200-400,No,Yes
1,200-400,No,No
2,200-400,Yes,Yes
0,< 200,Yes,No
1,< 200,No,Yes
1,> 400,Yes,No
1,< 200,Yes,Yes
0,< 200,Yes,No
2,< 200,No,Yes
0,> 400,No,No
0,200-400,Yes,No
1,< 200,Yes,Yes
2,< 200,No,Yes
2,> 400,No,Yes
0,200-400,Yes,No
1,< 200,Yes,Yes
2,< 200,Yes,Yes
2,< 200,Yes,Yes
1,< 200,Yes,Yes
2,< 200,No,Yes
0,> 400,Yes,No
2,< 200,No,Yes
1,200-400,Yes,No
2,< 200,Yes,Yes
0,< 200,No,No
1,200-400,No,Yes
1,> 400,Yes,No
2,< 200,Yes,Yes
0,< 200,Yes,No
0,< 200,Yes,No
1,< 200,No,Yes
0,200-400,No,No
0,200-400,No,No
2,200-400,No,Yes
0,200-400,No,No
1,> 400,No,No
1,200-400,Yes,Yes
2,< 200,No,Yes
0,200-400,No,No
2,200-400,Yes,Yes
1,< 200,No,Yes
0,200-400,No,No
1,200-400,Yes,Yes
0,< 200,No,No
2,200-400,No,Yes
2,> 400,No,Yes
2,200-400,Yes,Yes
2,< 200,No,Yes
2,200-400,Yes,Yes
1,< 200,Yes,Yes
0,< 200,No,No
1,200-400,No,No
1,> 400,Yes,No
0,< 200,No,No
2,> 400,Yes,Yes
0,< 200,No,No
1,200-400,Yes,Yes
2,< 200,No,Yes
1,200-400,Yes,Yes
1,< 200,No,Yes
0,> 400,Yes,No
2,< 200,Yes,Yes
1,< 200,Yes,Yes
0,< 200,No,No
1,> 400,Yes,No
2,< 200,No,Yes
2,> 400,No,Yes
1,200-400,Yes,Yes
0,< 200,No,No
0,200-400,No,No
